User Path,Num Direct Impressions,Num Indirect Impressions,Impressions Served,Has Converted (1/0 = yes/no),Count
mobile site (phone) - mobile site (tablet) - desktop site (tablet) - desktop site (phone),0,0,None,1,1
imp (phone),40,0,Indirect,0,118
imp (phone) - imp (other),22,0,Indirect,0,3
imp (tablet) - mobile site (tablet) - desktop site (tablet) - desktop site (phone),86,3,Direct,1,1
imp (phone) - mobile site (phone) - desktop site (phone),14,0,Indirect,1,2
imp (phone) - mobile site (tablet) - desktop site (tablet),52,0,Indirect,1,1
imp (computer) - mobile site (phone) - desktop site (phone),1,0,Indirect,1,1
imp (phone) - imp (tablet) - desktop site (computer),15,0,Indirect,1,1
imp (tablet) - imp (phone),11,0,Indirect,0,91
imp (phone) - click (phone) - desktop site (phone),0,6,Direct,1,36
imp (phone),391,0,Indirect,0,1
imp (tablet) - imp (phone),41,0,Indirect,0,8
mobile site (tablet) - imp (tablet) - desktop site (computer),2,0,Indirect,1,1
imp (tablet),288,0,Indirect,0,1
imp (phone),50,0,Indirect,0,63
imp (tablet),298,0,Indirect,0,2
imp (other) - mobile site (phone) - desktop site (phone),0,3,Direct,1,1
imp (phone) - click (phone),90,0,Indirect,0,2
imp (tablet) - click (tablet),33,0,Indirect,0,4
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (computer),31,0,Indirect,1,1
imp (other) - imp (tablet),58,0,Indirect,0,2
imp (phone) - desktop site (phone),0,11,Direct,1,3
imp (other),27,0,Indirect,0,5
imp (tablet) - imp (phone),69,0,Indirect,0,4
imp (phone) - click (phone) - desktop site (phone),28,19,Direct,1,1
imp (phone) - imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),1,5,Direct,1,1
imp (tablet),720,0,Indirect,0,1
imp (phone) - desktop site (computer) - desktop site (tablet),2,0,Indirect,1,3
imp (phone),229,0,Indirect,0,1
mobile site (other) - desktop site (other) - desktop site (phone) - desktop site (tablet),0,0,None,1,3
imp (phone) - imp (tablet) - desktop site (computer),7,0,Indirect,1,3
mobile site (tablet) - desktop site (other),0,0,None,1,23
imp (phone),564,0,Indirect,0,1
imp (tablet),151,0,Indirect,0,3
imp (tablet) - imp (phone) - desktop site (phone),12,0,Indirect,1,1
mobile site (other) - desktop site (phone) - desktop site (tablet),0,0,None,1,3
imp (phone),141,0,Indirect,0,6
imp (tablet),85,0,Indirect,0,10
imp (tablet),178,0,Indirect,0,3
imp (computer),12,0,Indirect,0,11
imp (tablet) - mobile site (tablet) - click (tablet) - desktop site (tablet),0,7,Direct,1,1
imp (phone) - desktop site (tablet),18,0,Indirect,1,2
imp (tablet) - mobile site (phone) - desktop site (phone),8,0,Indirect,1,3
imp (tablet) - mobile site (other) - desktop site (other),6,0,Indirect,1,1
imp (tablet),612,0,Indirect,0,1
imp (tablet) - click (tablet) - desktop site (tablet),0,41,Direct,1,1
mobile site (computer) - desktop site (computer) - desktop site (tablet) - desktop site (phone),0,0,None,1,1
imp (tablet) - imp (phone) - click (phone),19,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),4,1,Direct,1,2
imp (tablet) - desktop site (other),1,0,Indirect,1,40
imp (phone) - desktop site (computer) - desktop site (other),3,0,Indirect,1,2
imp (phone) - click (phone) - desktop site (phone),3,9,Direct,1,1
imp (tablet) - imp (phone),119,0,Indirect,0,1
imp (computer),29,0,Indirect,0,1
imp (computer) - imp (tablet),4,0,Indirect,0,5
imp (phone) - click (phone) - desktop site (phone) - desktop site (other) - desktop site (computer),0,1,Direct,1,1
